,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
0,1,873223,荣亿精密,21.78,29.95,5.02,245839.0,496251031.19,25.54,21.78,17.5,18.0,16.76,1.62,30.13,-327.89,13.32,3425667300.0,1776894075.0,0.0,0.0,93.43,126.88
1,2,301257,普蕊斯,43.54,20.01,7.26,64905.0,277778362.14,8.54,43.54,40.44,40.62,36.28,3.15,8.62,31.76,2.82,3439867686.0,3279385298.0,0.0,0.0,38.27,62.1
2,3,301378,通达海,38.5,20.01,6.42,221217.0,820244398.67,21.82,38.5,31.5,31.75,32.08,5.3,48.18,-42.24,2.84,3719100000.0,1767709444.0,0.0,0.03,42.75,34.43
3,4,300955,嘉亨家化,31.85,20.01,5.31,138854.0,433967123.65,12.58,31.85,28.51,28.51,26.54,1.35,13.78,-49.95,3.67,3210480000.0,3210480000.0,0.0,0.0,74.04,105.22
4,5,300450,先导智能,35.51,20.01,5.92,1202567.0,4099383597.1,14.3,35.51,31.28,31.28,29.59,2.31,7.71,37.56,4.52,55614449337.0,55374804030.0,0.0,0.0,78.08,77.91
5,6,301326,捷邦科技,128.22,20.0,21.37,56341.0,682986983.52,16.01,128.22,111.11,116.6,106.85,1.44,20.82,-122.17,7.46,9290760680.0,3469193149.0,0.0,0.0,83.43,75.4
6,7,301357,北方长龙,182.16,20.0,30.36,129369.0,2148375703.54,21.92,182.16,148.88,150.8,151.8,1.85,54.36,-7928.57,15.41,17341632000.0,4335408000.0,0.0,0.54,396.08,448.01
7,8,300972,万辰集团,211.8,20.0,35.3,87219.0,1695750066.57,17.45,211.8,181.0,181.0,176.5,2.87,5.34,42.13,23.1,39736870132.0,34617322075.0,0.0,0.0,14.82,165.38
8,9,688006,杭可科技,25.74,20.0,4.29,237405.0,586735326.0,13.99,25.74,22.74,23.0,21.45,3.11,3.93,26.99,2.89,15538521192.0,15538521192.0,0.0,0.0,49.56,45.1
9,10,301177,迪阿股份,35.12,19.99,5.85,55096.0,184941091.28,15.58,35.12,30.56,30.56,29.27,3.44,1.38,92.42,2.26,14048351200.0,14048327494.0,0.0,0.0,21.02,57.21
10,11,833523,德瑞锂电,31.98,19.11,5.13,172513.0,535234621.36,28.64,34.51,26.82,26.86,26.85,4.39,21.29,21.89,5.07,3239617781.0,2591643626.0,0.0,-0.19,23.67,62.42
11,12,688066,航天宏图,38.72,17.94,5.89,615704.0,2283728253.0,21.02,39.4,32.5,32.5,32.83,1.32,23.57,-20.43,18.74,10116661199.0,10116661199.0,0.03,-0.62,113.92,89.8
12,13,873690,捷众科技,35.25,16.53,5.0,85096.0,294389680.85,19.93,37.0,30.97,31.0,30.25,2.0,19.74,38.14,4.16,2337075000.0,1519242570.0,0.11,1.5,41.57,101.2
13,14,688228,开普云,153.8,16.52,21.8,126782.0,1723429610.0,29.18,158.4,119.88,129.42,132.0,2.47,18.78,1374.56,8.0,10384305312.0,10384305312.0,-0.65,-2.04,163.81,246.32
14,15,300111,向日葵,4.61,15.83,0.63,2168684.0,981450243.63,19.85,4.78,3.99,4.01,3.98,4.95,16.85,2556.34,8.63,5934041392.0,5934041392.0,-0.22,0.22,30.23,42.28
15,16,688201,信安世纪,14.71,15.37,1.96,437681.0,626871296.0,13.1,15.08,13.41,13.74,12.75,2.57,14.47,224.99,3.6,4665332633.0,4450227377.0,0.0,0.14,44.5,66.59
16,17,831832,科达自控,27.0,14.94,3.51,176588.0,449290103.95,19.37,27.6,23.05,23.49,23.49,3.77,20.5,318.08,4.17,2912499450.0,2326128165.0,-0.84,-0.92,23.74,77.87
17,18,300035,中科电气,21.2,14.59,2.7,1559306.0,3194154652.09,19.24,22.16,18.6,18.88,18.5,3.65,26.73,26.68,3.04,14531045425.0,12366980356.0,0.14,0.24,45.5,44.22
18,19,688411,海博思创,127.77,13.98,15.67,41309.0,516658042.0,19.2,134.52,113.0,113.0,112.1,2.82,10.89,36.43,5.64,23010417703.0,4846770195.0,0.02,-0.15,82.4,598.96
19,20,688131,皓元医药,68.48,13.7,8.25,189207.0,1255570189.0,10.08,69.49,63.42,65.0,60.23,2.66,8.92,47.85,4.96,14524523427.0,14524523427.0,-0.42,-0.16,48.35,92.63
20,21,835185,贝特瑞,26.09,13.58,3.12,366841.0,953023861.99,21.25,28.0,23.12,23.12,22.97,3.51,3.31,30.73,2.42,29412265352.0,28938323492.0,-0.04,-0.34,18.27,35.81
21,22,688299,长阳科技,23.45,13.01,2.7,566422.0,1293180300.0,16.29,24.5,21.12,21.5,20.75,1.92,19.71,-394.24,3.24,6739363364.0,6739363364.0,0.04,0.21,25.4,59.52
